Question,A,B,C,D,CorrectAnswer,Explanation,Type,Tolerance,Unit,Accept,MRQ_AON,Pairs,Items,Difficulty,Tags,Section
"According to paragraph 2 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 1)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,"Remind the teacher: paste the same link into the Digital Library 'Read link' field, tick 'Has comprehension questions', and set the Max score so the quiz feeds the report card as CA. The author explicitly states that character transformation is the evidence of the new life.",mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 3 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 2)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 4 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 3)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 5 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 4)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 6 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 5)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 7 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 6)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 8 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 7)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 9 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 8)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 10 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 9)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 1 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 10)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 2 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 11)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 3 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 12)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 4 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 13)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 5 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 14)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 6 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 15)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 7 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 16)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 8 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 17)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
