"Question","A","B","C","D","CorrectAnswer","Explanation","Type","Tolerance","Unit","Accept","MRQ_AON","Pairs","Items","Difficulty","Tags","Section"
"In the opening discussion, what feeling is presented as normal for someone entering tech for the first time?","Being unfamiliar and intimidated","Being certain about every field","Already having expert skills","Avoiding all learning","A","TEACHER SETUP NOTE: Paste the same video link into the Digital Library ""Read link"" field, tick ""Has comprehension questions"", and set the Max score so the quiz feeds the report card as CA. Video: https://youtu.be/d_laxkrvkt4?si=pFjAMQ1Io7XuQJQ9. The questions are anchored to the video's progression and the corresponding claims demonstrated/discussed. The opening frames unfamiliarity and intimidation as normal starting feelings.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"The video describes the tech space as what kind of environment?","A community full of opportunities and innovation","A closed club for programmers","A single career path","A place only for computer scientists","A","The discussion presents tech as a broad community with many opportunities and innovation.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which idea is emphasized about being new to technology?","It is your starting point","You must already know coding","You should copy experts exactly","You should wait until you know everything","A","The speaker emphasizes that being a newbie is a starting point, not a disadvantage.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Why does the video say even experienced people in tech must keep learning?","Technology keeps changing","Technology never changes","Experts stop using technology","Newbies replace all experts","A","New technologies emerge and existing ones evolve, so continuous learning is necessary.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which mindset is recommended for a beginner?","Growth mindset","Fixed mindset","Avoidance mindset","Competition-only mindset","A","The video links a growth mindset with dedication and hard work.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which of these is listed as a possible technology field?","UI/UX","Agriculture","Catering","Fashion retail","A","UI/UX is one of the technology areas named in the discussion.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What does the video advise before choosing a technology field?","Research different areas and explore what interests you","Choose whatever social media calls popular","Choose the highest-paying field immediately","Avoid listening to anyone","A","The speaker recommends research, exploration, podcasts, videos and events.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which activity is specifically suggested as a way to learn about different tech areas?","Watching videos online","Ignoring online resources","Only reading printed newspapers","Avoiding events","A","Watching online videos is among the suggested exploratory activities.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What should a learner consider from previous experience when choosing a field?","What they are good at and enjoy","Only their friends' choices","Only the shortest course","Only the newest software","A","The advice is to consider strengths, interests and relevant past experience.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What does the video say about changing your chosen tech interest later?","It is okay to change if it no longer works for you","It is never allowed","It means the learner has failed","It should always be hidden","A","The speaker says changing interests is acceptable when the choice is no longer suitable.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
