"Question","A","B","C","D","CorrectAnswer","Explanation","Type","Tolerance","Unit","Accept","MRQ_AON","Pairs","Items","Difficulty","Tags","Section"
"According to ""What God Did In You,"" which memory verse is quoted as the key text of the study?","2 Corinthians 5:17","John 3:16","Romans 8:28","Psalm 23:1","A","The material gives 2 Cor 5:17 as the memory verse for the study. [TEACHER SETUP NOTE: Paste this same reading link into the Digital Library 'Read link' field, tick 'Has comprehension questions', and set the Max score so this quiz feeds the report card as CA.]","mcq","","","","","","","easy","memory-verse,section1","CRS"
"Under ""OLD THINGS,"" point (A) explains that you were a sinner before God mainly because you...","were born a sinner and inherited a sinful nature","stole from a neighbour","were poor","disobeyed your parents once","A","The text states you were not a sinner because you sinned, but because you were born a sinner.","mcq","","","","","","","medium","old-things,section1","CRS"
"Point (B) under ""OLD THINGS"" states that being enslaved by sin and sinful habits made you unable to...","please God","travel abroad","attend school","own property","A","""Being enslaved by sin and sinful habits, you were unable to please God"" (Rom 8:8-9).","mcq","","","","","","","easy","old-things,section1","CRS"
"Point (C) under ""OLD THINGS"" states that before salvation you were in darkness under the dominion of...","Satan","government","your parents","tradition","A","""You were in darkness under the dominion of Satan"" (1Jn 5:19).","mcq","","","","","","","easy","old-things,section1","CRS"
"Under "". . . HAVE PASSED AWAY,"" point (A) states that your sins are now...","forgiven","forgotten by man","hidden","reduced","A","""YOUR SINS ARE FORGIVEN"" is the heading of point (A).","mcq","","","","","","","easy","passed-away,section1","CRS"
"According to point (B), what CANNOT wash away sin, unlike the blood of Jesus?","Soap and water","Fire","Prayer alone","Fasting alone","A","""Soap and water cannot wash away sin. Neither can the blood of bulls, goats and rams.""","mcq","","","","","","","medium","passed-away,section1","CRS"
"Point (C) under "". . . HAVE PASSED AWAY"" states you are now declared...","""not guilty"" / justified before God","a citizen","an elder","a prophet","A","""YOU ARE NOW DECLARED 'NOT GUILTY,' i.e. YOU ARE NOW JUSTIFIED BEFORE GOD.""","mcq","","","","","","","easy","passed-away,section1","CRS"
"Point (D) under "". . . HAVE PASSED AWAY"" states that what has been removed from you?","The sinful heart (heart of stone)","Your memory","Your family","Your name","A","""THE SINFUL HEART IN YOU HAS BEEN REMOVED"" (Ezek 36:25-27).","mcq","","","","","","","medium","passed-away,section1","CRS"
"Under ""BEHOLD ALL THINGS HAVE BECOME NEW,"" point (A) states that you now have a...","new heart","new house","new job","new name only","A","""YOU NOW HAVE A NEW HEART"" (Ezek 36:26).","mcq","","","","","","","easy","all-new,section1","CRS"
"Point (B) under ""BEHOLD ALL THINGS HAVE BECOME NEW"" states that...","Christ lives in you now","you must build a church","you become sinless forever physically","you no longer need prayer","A","""CHRIST LIVES IN YOU NOW"" (Gal 2:20).","mcq","","","","","","","easy","all-new,section1","CRS"
"Point (C) uses which image to describe how God changed your spiritual location?","Being grafted into the holy olive tree","Being planted in a garden of roses","Being carried by an eagle","Being hidden in a cave","A","""You have been cut off from the wild olive tree and grafted into the holy olive tree (Jesus Christ Himself).""","mcq","","","","","","","medium","all-new,section1","CRS"
"Point (D) states that you are now a child of God, a new creation, and a...","new member of the household of God","stranger in God's house","servant only","visitor","A","""YOU ARE NOW A CHILD OF GOD, A NEW CREATION, A NEW MEMBER OF THE HOUSEHOLD OF GOD.""","mcq","","","","","","","easy","all-new,section1","CRS"
"Point (E) states that, according to Phil 3:20, you are a...","citizen of heaven","tourist on earth","stranger to God","servant of Satan","A","""YOU ARE A CITIZEN OF HEAVEN.""","mcq","","","","","","","easy","all-new,section1","CRS"
"Point (F) states that from now on, as a believer, you must...","grow in Christ","stop praying","avoid other believers","remain a baby in Christ","A","""FROM NOW ON, YOU MUST GROW IN CHRIST"" (Rom 8:29).","mcq","","","","","","","easy","all-new,section1","CRS"
"What comparison does the author use to describe a believer's growth after the new birth?","A baby that has potential to become great if he grows steadily","A tree that never changes","A river that dries up","A stone that hardens","A","""Every baby has a potential to become great in the future if he grows steadily.""","mcq","","","","","","","medium","all-new,section1","CRS"
"According to point (F), what is described as the spiritual food (milk) for your new life in Christ?","The word of God","Fasting","Music","Fellowship alone","A","""The word of God is the spiritual food (milk) for your new life in Christ Jesus.""","mcq","","","","","","","medium","all-new,section1","CRS"
"According to the conclusion of ""What God Did In You,"" what must you learn to do?","Give thanks to God for the free gift of salvation","Pay tithes immediately","Preach publicly","Fast for 40 days","A","""You must learn to give thanks to God for the free gift of salvation.""","mcq","","","","","","","easy","conclusion,section1","CRS"
"According to the material, since the day you believed in Christ, His death on the cross of Calvary was to...","take away your sins and save you","give you wealth","make you famous","cure all sickness","A","""His death on the Cross of Calvary was to take away your sins and save you.""","mcq","","","","","","","easy","intro,section1","CRS"
"According to the dictionary meaning given in the material, to repent means to...","think with regret or sorrow over something one has done","feel proud of one's achievements","ignore one's past","celebrate one's success","A","""To repent means to think with regret or sorrow over something that one has done.""","mcq","","","","","","","easy","repentance,section2","CRS"
"According to the biblical meaning of repentance, how many actions together make up true repentance?","Three","One","Five","Two","A","""There are three actions that make up repentance: Confession of your sins, forsaking of your sins and bearing of fruits...""","mcq","","","","","","","medium","repentance,section2","CRS"
"Which of these is NOT one of the three actions of repentance listed in the material?","Celebration of past sins","Confession of sins","Forsaking of sins","Bearing fruits of repentance","A","The three actions are confession, forsaking, and bearing fruits — not celebration.","mcq","","","","","","","medium","repentance,section2","CRS"
"According to point I, repentance is described as the first step that must be taken to...","reconcile with God","travel to church","get married","join a choir","A","""REPENTANCE IS THE FIRST STEP THAT MUST BE TAKEN TO RECONCILE WITH GOD.""","mcq","","","","","","","easy","repentance,section2","CRS"
"Point II states that the opportunity for repentance comes because of...","God's goodness and mercy","human effort alone","the church calendar","tradition","A","""OPPORTUNITY FOR REPENTANCE COMES BECAUSE OF GOD'S GOODNESS AND MERCY.""","mcq","","","","","","","easy","repentance,section2","CRS"
"Which Old Testament figure does the author use to illustrate that the opportunity for repentance has a time limit?","Esau","Moses","David","Joseph","A","""Esau sold his birthright for a spoon of pottage... he lost his inheritance even though thereafter he sought for it diligently later with tears.""","mcq","","","","","","","medium","repentance,section2,esau","CRS"
"According to the material, what did Esau sell for a spoon of pottage?","His birthright","His sheep","His tent","His sword","A","""Esau sold his birthright for a spoon of pottage.""","mcq","","","","","","","easy","repentance,section2,esau","CRS"
"Point III states that genuine repentance is normally preceded by...","the acknowledgement of one's sins and sinful situation","a long journey","public applause","a change of job","A","""IT IS NORMALLY PRECEDED BY THE ACKNOWLEDGEMENT OF ONE'S SINS & SINFUL SITUATION.""","mcq","","","","","","","medium","repentance,section2","CRS"
"Point IV states that since sin starts from the heart, genuine repentance also starts from...","the heart","the mouth only","the hands","the community","A","""As sin starts from the heart, genuine repentance from sin also starts from the heart.""","mcq","","","","","","","easy","repentance,section2","CRS"
"Point V states that repentance may involve...","weeping and fasting","dancing and singing only","silence only","sleeping","A","""REPENTANCE MAY INVOLVE WEEPING AND FASTING.""","mcq","","","","","","","easy","repentance,section2","CRS"
"Point VI states that repentance involves confession with one's...","mouth","feet","hands","eyes","A","""REPENTANCE INVOLVES CONFESSION WITH ONE'S MOUTH.""","mcq","","","","","","","easy","repentance,section2","CRS"
"Besides confession to God, the material says confession may also need to be made to...","man (a fellow human being who was offended)","angels","government officials only","strangers only","A","""CONFESSION TO MAN... especially where a fellow human being is injured... or offended as a result of your sins.""","mcq","","","","","","","medium","repentance,section2","CRS"
"Which New Testament figure is cited as an example of restitution as part of confession to man?","Zacchaeus","Peter","Judas","Thomas","A","""It may also involve restitution as in the case of Zacchaeus.""","mcq","","","","","","","medium","repentance,section2,zacchaeus","CRS"
"Point VII (a) states that repentance is complete only when sin and sinful habits are...","completely forsaken","partly reduced","publicly announced","forgotten by others","A","""SIN AND SINFUL HABITS ARE COMPLETELY FORSAKEN.""","mcq","","","","","","","medium","repentance,section2","CRS"
"Point VII (b) states that repentance is also shown by...","fruits which show repentance being brought forth","silence about the past","avoiding church","denying past sins","A","""FRUITS, WHICH SHOW REPENTANCE, ARE BROUGHT FORTH.""","mcq","","","","","","","medium","repentance,section2","CRS"
"What is the memory verse given at the close of the ""What You Must Do"" study on repentance?","Proverbs 28:13","Psalm 23:1","John 1:1","Matthew 5:1","A","The memory verse quoted is Prov. 28:13, ""He that covereth his sins shall not prosper...""","mcq","","","","","","","easy","repentance,section2","CRS"
"According to danger (A) of not repenting, sin results in...","separation from God and God's presence","instant wealth","better friendships","longer life","A","""IT RESULTS IN SEPARATION FROM GOD AND GOD'S PRESENCE.""","mcq","","","","","","","easy","repentance,section2,dangers","CRS"
"Which biblical couple is used as the example of sin pushing people away from God's presence?","Adam and Eve","Abraham and Sarah","Isaac and Rebekah","Boaz and Ruth","A","""As they covered themselves and their sin of disobedience, sin pushed them away from God's presence... as it happened to Adam and Eve in the garden.""","mcq","","","","","","","medium","repentance,section2,dangers","CRS"
"Danger (B) states that unrepented sin attracts...","God's wrath","fame","riches","friendship","A","""IT ATTRACTS GOD'S WRATH.""","mcq","","","","","","","easy","repentance,section2,dangers","CRS"
"Danger (C) states that unrepented sin opens the door for...","Satan to attack","angels to protect you more","prosperity","peace","A","""IT OPENS THE DOOR FOR SATAN TO ATTACK.""","mcq","","","","","","","easy","repentance,section2,dangers","CRS"
"Using Psalm 125:2, the author compares God's protection of His people to...","mountains surrounding Jerusalem","a river flowing through a city","a wall built by soldiers","a fence around a farm","A","""As mountains surround Jerusalem, so the Lord surrounds His people (Ps 125:2).""","mcq","","","","","","","medium","repentance,section2,dangers","CRS"
